motif_id,gene_id
MA0110.3,AT5G65310
MA0570.2,AT1G49720
MA0974.2,AT3G47500
MA0976.2,AT4G27950
MA0992.2,AT3G15210
MA0995.2,AT4G16750
MA1001.2,AT1G28370
MA1005.2,AT1G50640
MA1227.2,AT1G12630
MA1233.2,AT1G71450
MA1238.2,AT2G35700
MA1265.2,AT4G31060
MA1327.2,AT1G26960
MA1353.1,AT1G72740
MA1365.2,AT5G47660
MA1406.1,AT2G44910
MA1424.1,AT1G22810
MA1659.1,AT3G19290
MA1660.1,AT1G32870
MA1661.1,AT1G33240
MA1662.1,AT3G10030
MA1668.1,AT3G56850
MA1669.1,AT4G25490
MA1670.1,AT4G25470
MA1671.1,AT1G68550
MA0565.2,AT3G26790
MA0980.2,AT4G36900
MA1047.2,AT5G06960
MA1062.2,AT1G69690
MA1065.2,AT3G27010
MA1076.2,AT2G23320
MA1311.2,AT4G18170
MA1352.1,AT5G59430
MA1355.1,AT5G67580
MA1356.1,AT3G46590
MA1368.2,AT3G25990
MA1391.2,AT5G06100
MA1393.2,AT2G23290
MA1394.2,AT4G37260
MA1398.2,AT5G47390
MA1413.1,AT4G37180
MA1672.1,AT4G01120
MA1673.1,AT2G45420
MA1674.1,AT1G34190
MA1675.1,AT1G69490
MA1676.1,AT3G49530
MA1677.1,AT5G04410
MA1678.1,AT2G27300
MA1679.1,AT1G46768
MA1680.1,AT1G18330
MA1681.1,AT5G08520
MA1682.1,AT3G22760
MA1329.2,AT5G65410
M06560,AT1G01250
M06562,AT1G24590
M06562,AT1G03800
M06562,AT1G12980
M06562,AT4G11140
M06562,AT2G46310
M01045,AT1G24590
M01045,AT1G04370
M01045,AT5G61590
M01602,AT1G06160
M01602,AT5G50080
M00840,AT1G12610
M00962,AT1G12610
M06564,AT1G12610
M06566,AT1G12630
M01616,AT1G12890
M01616,AT1G49120
M01616,AT1G28360
M01616,AT1G24590
M01616,AT1G12980
M01616,AT4G11140
M01616,AT3G15210
M06573,AT1G12890
M06573,AT1G28160
