motif_id,gene_id
M00008,Zm00001eb179440
M00008,Zm00001eb279020
M00008,Zm00001eb281290
M00008,Zm00001eb316850
M00008,Zm00001eb041850
M00008,Zm00001eb190840
M00008,Zm00001eb148770
M00008,Zm00001eb101980
M00008,Zm00001eb259250
M00008,Zm00001eb259240
M00153,Zm00001eb243000
M00153,Zm00001eb181510
M00153,Zm00001eb089380
M00153,Zm00001eb407120
M00153,Zm00001eb113250
M00153,Zm00001eb053560
M00153,Zm00001eb244670
M00153,Zm00001eb292470
M00154,Zm00001eb243000
M00154,Zm00001eb181510
M00154,Zm00001eb089380
M00154,Zm00001eb407120
M00154,Zm00001eb113250
M00154,Zm00001eb053560
M00154,Zm00001eb244670
M00154,Zm00001eb292470
M00216,Zm00001eb052680
M00216,Zm00001eb218190
M00216,Zm00001eb220320
M00662,Zm00001eb243000
M00662,Zm00001eb181510
M00662,Zm00001eb089380
M00662,Zm00001eb407120
M00662,Zm00001eb431380
M00662,Zm00001eb373690
M00662,Zm00001eb113250
M00662,Zm00001eb053560
M00662,Zm00001eb244670
M00662,Zm00001eb292470
M00717,Zm00001eb242090
M00717,Zm00001eb340140
M00717,Zm00001eb071190
M00717,Zm00001eb202570
M00717,Zm00001eb084810
M00717,Zm00001eb084820
M00717,Zm00001eb289170
M00717,Zm00001eb318060
M00717,Zm00001eb100800
M00717,Zm00001eb146650
M00717,Zm00001eb130510
M00717,Zm00001eb422470
M00717,Zm00001eb037040
M00717,Zm00001eb038070
M00717,Zm00001eb421430
M00717,Zm00001eb430640
M00717,Zm00001eb348560
M00717,Zm00001eb407760
M00718,Zm00001eb004020
M00718,Zm00001eb222470
M00718,Zm00001eb307600
M00718,Zm00001eb352570
M00718,Zm00001eb359500
M00718,Zm00001eb157940
M00718,Zm00001eb157950
M00718,Zm00001eb065180
M00718,Zm00001eb065170
M00719,Zm00001eb004020
M00719,Zm00001eb192960
M00719,Zm00001eb006180
M00719,Zm00001eb413930
M00719,Zm00001eb291730
M00719,Zm00001eb421530
M00719,Zm00001eb222470
M00719,Zm00001eb242140
M00719,Zm00001eb040690
M00719,Zm00001eb313850
M00719,Zm00001eb340140
M00719,Zm00001eb074930
M00719,Zm00001eb195490
M00719,Zm00001eb307600
M00719,Zm00001eb352570
M00719,Zm00001eb202570
M00719,Zm00001eb234870
M00719,Zm00001eb084720
M00719,Zm00001eb429870
M00719,Zm00001eb285760
M00719,Zm00001eb084810
M00719,Zm00001eb084820
M00719,Zm00001eb171050
M00719,Zm00001eb255860
M00719,Zm00001eb257170
M00719,Zm00001eb393510
M00719,Zm00001eb318060
M00719,Zm00001eb369560
M00719,Zm00001eb100800
M00719,Zm00001eb206360
M00719,Zm00001eb099980
M00719,Zm00001eb359500
M00719,Zm00001eb157940
M00719,Zm00001eb157950
M00719,Zm00001eb130510
M00719,Zm00001eb374110
M00719,Zm00001eb303690
M00719,Zm00001eb303680
M00719,Zm00001eb352580
M00719,Zm00001eb037040
M00719,Zm00001eb150840
M00719,Zm00001eb271260
M00719,Zm00001eb038070
M00719,Zm00001eb421430
M00719,Zm00001eb376110
M00719,Zm00001eb348560
M00719,Zm00001eb153470
M00719,Zm00001eb074900
M00719,Zm00001eb074910
M00720,Zm00001eb004020
M00720,Zm00001eb006180
M00720,Zm00001eb291720
M00720,Zm00001eb291730
