dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
bundle_sheath_top10000	15469.0	M00008	366.0	169.0	0.0009	0.0017695139911634758	2.165680473372781
bundle_sheath_top10000	15469.0	M00153	593.0	387.0	0.0009	0.0017695139911634758	1.5322997416020672
bundle_sheath_top10000	15469.0	M00154	655.0	328.0	0.0009	0.0017695139911634758	1.9969512195121952
bundle_sheath_top10000	15469.0	M00216	352.0	122.0	0.0009	0.0017695139911634758	2.8852459016393444
bundle_sheath_top10000	15469.0	M00662	861.0	399.0	0.0009	0.0017695139911634758	2.1578947368421053
bundle_sheath_top10000	15469.0	M00717	950.0	329.0	0.0009	0.0017695139911634758	2.8875379939209727
bundle_sheath_top10000	15469.0	M00718	1193.0	307.0	0.0009	0.0017695139911634758	3.8859934853420195
bundle_sheath_top10000	15469.0	M00719	907.0	379.0	0.0009	0.0017695139911634758	2.3931398416886545
bundle_sheath_top10000	15469.0	M00720	887.0	334.0	0.0009	0.0017695139911634758	2.655688622754491
bundle_sheath_top10000	15469.0	M00721	1068.0	300.0	0.0009	0.0017695139911634758	3.56
bundle_sheath_top10000	15469.0	M00722	326.0	157.0	0.0009	0.0017695139911634758	2.0764331210191083
bundle_sheath_top10000	15469.0	M00723	205.0	419.0	1.0	1.0	0.4892601431980907
bundle_sheath_top10000	15469.0	M00724	469.0	321.0	0.0009	0.0017695139911634758	1.4610591900311527
bundle_sheath_top10000	15469.0	M00725	257.0	185.0	0.0009	0.0017695139911634758	1.3891891891891892
bundle_sheath_top10000	15469.0	M00726	462.0	400.0	0.001	0.0019236311239193085	1.155
bundle_sheath_top10000	15469.0	M00727	383.0	293.0	0.0009	0.0017695139911634758	1.3071672354948805
bundle_sheath_top10000	15469.0	M00728	388.0	380.0	0.354	0.556643109540636	1.0210526315789474
bundle_sheath_top10000	15469.0	M00729	423.0	503.0	1.0	1.0	0.8409542743538767
bundle_sheath_top10000	15469.0	M00730	450.0	280.0	0.0009	0.0017695139911634758	1.6071428571428572
bundle_sheath_top10000	15469.0	M00731	368.0	449.0	1.0	1.0	0.8195991091314031
bundle_sheath_top10000	15469.0	M00732	278.0	347.0	1.0	1.0	0.8011527377521613
bundle_sheath_top10000	15469.0	M00750	353.0	106.0	0.0009	0.0017695139911634758	3.330188679245283
bundle_sheath_top10000	15469.0	M00751	763.0	512.0	0.0009	0.0017695139911634758	1.490234375
bundle_sheath_top10000	15469.0	M00840	488.0	394.0	0.0009	0.0017695139911634758	1.2385786802030456
bundle_sheath_top10000	15469.0	M00841	616.0	347.0	0.0009	0.0017695139911634758	1.7752161383285303
bundle_sheath_top10000	15469.0	M00842	450.0	483.0	0.944	1.0	0.9316770186335404
bundle_sheath_top10000	15469.0	M00843	638.0	494.0	0.0009	0.0017695139911634758	1.291497975708502
bundle_sheath_top10000	15469.0	M00844	715.0	529.0	0.0009	0.0017695139911634758	1.3516068052930057
bundle_sheath_top10000	15469.0	M00845	301.0	436.0	1.0	1.0	0.6903669724770642
bundle_sheath_top10000	15469.0	M00847	870.0	341.0	0.0009	0.0017695139911634758	2.5513196480938416
bundle_sheath_top10000	15469.0	M00848	273.0	121.0	0.0009	0.0017695139911634758	2.256198347107438
bundle_sheath_top10000	15469.0	M00849	432.0	243.0	0.0009	0.0017695139911634758	1.7777777777777777
bundle_sheath_top10000	15469.0	M00850	839.0	521.0	0.0009	0.0017695139911634758	1.6103646833013436
bundle_sheath_top10000	15469.0	M00851	269.0	460.0	1.0	1.0	0.5847826086956521
bundle_sheath_top10000	15469.0	M00852	297.0	293.0	0.409	0.6334280742459396	1.0136518771331058
bundle_sheath_top10000	15469.0	M00854	602.0	385.0	0.0009	0.0017695139911634758	1.5636363636363637
bundle_sheath_top10000	15469.0	M00856	291.0	287.0	0.425	0.6566840277777778	1.0139372822299653
bundle_sheath_top10000	15469.0	M00858	183.0	134.0	0.0009	0.0017695139911634758	1.3656716417910448
bundle_sheath_top10000	15469.0	M00860	170.0	134.0	0.002	0.0037765205091937768	1.2686567164179106
bundle_sheath_top10000	15469.0	M00861	136.0	108.0	0.005	0.009309623430962343	1.2592592592592593
bundle_sheath_top10000	15469.0	M00862	428.0	461.0	0.948	1.0	0.928416485900217
bundle_sheath_top10000	15469.0	M00863	486.0	423.0	0.002	0.0037765205091937768	1.148936170212766
bundle_sheath_top10000	15469.0	M00864	355.0	376.0	0.87	1.0	0.9441489361702128
bundle_sheath_top10000	15469.0	M00865	563.0	360.0	0.0009	0.0017695139911634758	1.5638888888888889
bundle_sheath_top10000	15469.0	M00866	317.0	318.0	0.532	0.8098289623717219	0.9968553459119497
bundle_sheath_top10000	15469.0	M00867	290.0	211.0	0.0009	0.0017695139911634758	1.3744075829383886
bundle_sheath_top10000	15469.0	M00868	218.0	431.0	1.0	1.0	0.505800464037123
bundle_sheath_top10000	15469.0	M00869	177.0	285.0	1.0	1.0	0.6210526315789474
bundle_sheath_top10000	15469.0	M00870	452.0	527.0	1.0	1.0	0.857685009487666
bundle_sheath_top10000	15469.0	M00871	549.0	288.0	0.0009	0.0017695139911634758	1.90625
bundle_sheath_top10000	15469.0	M00872	513.0	381.0	0.0009	0.0017695139911634758	1.3464566929133859
bundle_sheath_top10000	15469.0	M00873	319.0	447.0	1.0	1.0	0.7136465324384788
bundle_sheath_top10000	15469.0	M00874	299.0	231.0	0.0009	0.0017695139911634758	1.2943722943722944
bundle_sheath_top10000	15469.0	M00875	708.0	414.0	0.0009	0.0017695139911634758	1.710144927536232
bundle_sheath_top10000	15469.0	M00876	588.0	344.0	0.0009	0.0017695139911634758	1.7093023255813953
bundle_sheath_top10000	15469.0	M00877	378.0	385.0	0.64	0.944519867549669	0.9818181818181818
bundle_sheath_top10000	15469.0	M00878	618.0	426.0	0.0009	0.0017695139911634758	1.4507042253521127
bundle_sheath_top10000	15469.0	M00879	719.0	413.0	0.0009	0.0017695139911634758	1.7409200968523002
bundle_sheath_top10000	15469.0	M00881	360.0	354.0	0.381	0.5941997663551403	1.0169491525423728
bundle_sheath_top10000	15469.0	M00882	574.0	455.0	0.0009	0.0017695139911634758	1.2615384615384615
bundle_sheath_top10000	15469.0	M00883	378.0	371.0	0.341	0.5374675324675325	1.0188679245283019
bundle_sheath_top10000	15469.0	M00886	195.0	263.0	1.0	1.0	0.7414448669201521
bundle_sheath_top10000	15469.0	M00887	660.0	326.0	0.0009	0.0017695139911634758	2.0245398773006134
bundle_sheath_top10000	15469.0	M00888	559.0	451.0	0.0009	0.0017695139911634758	1.2394678492239468
bundle_sheath_top10000	15469.0	M00889	395.0	362.0	0.051	0.08830739299610894	1.091160220994475
bundle_sheath_top10000	15469.0	M00890	294.0	197.0	0.0009	0.0017695139911634758	1.4923857868020305
bundle_sheath_top10000	15469.0	M00891	1055.0	366.0	0.0009	0.0017695139911634758	2.8825136612021858
bundle_sheath_top10000	15469.0	M00892	1226.0	389.0	0.0009	0.0017695139911634758	3.151670951156812
bundle_sheath_top10000	15469.0	M00898	290.0	369.0	1.0	1.0	0.7859078590785907
bundle_sheath_top10000	15469.0	M00899	343.0	441.5	1.0	1.0	0.7768969422423556
bundle_sheath_top10000	15469.0	M00900	395.0	418.0	0.879	1.0	0.9449760765550239
bundle_sheath_top10000	15469.0	M00901	302.0	396.0	1.0	1.0	0.7626262626262627
bundle_sheath_top10000	15469.0	M00962	531.0	472.0	0.006	0.01107883817427386	1.125
bundle_sheath_top10000	15469.0	M00964	547.0	469.0	0.0009	0.0017695139911634758	1.1663113006396588
bundle_sheath_top10000	15469.0	M00969	602.0	372.0	0.0009	0.0017695139911634758	1.618279569892473
bundle_sheath_top10000	15469.0	M00970	488.0	333.0	0.0009	0.0017695139911634758	1.4654654654654655
bundle_sheath_top10000	15469.0	M00971	517.0	466.0	0.006	0.01107883817427386	1.109442060085837
bundle_sheath_top10000	15469.0	M00974	933.0	436.0	0.0009	0.0017695139911634758	2.139908256880734
bundle_sheath_top10000	15469.0	M00978	635.0	524.0	0.0009	0.0017695139911634758	1.2118320610687023
bundle_sheath_top10000	15469.0	M00979	501.0	351.0	0.0009	0.0017695139911634758	1.4273504273504274
bundle_sheath_top10000	15469.0	M00980	821.0	408.0	0.0009	0.0017695139911634758	2.0122549019607843
bundle_sheath_top10000	15469.0	M00982	227.0	296.0	1.0	1.0	0.7668918918918919
bundle_sheath_top10000	15469.0	M01045	854.0	298.0	0.0009	0.0017695139911634758	2.865771812080537
bundle_sheath_top10000	15469.0	M01046	815.0	284.0	0.0009	0.0017695139911634758	2.869718309859155
bundle_sheath_top10000	15469.0	M01048	491.0	396.0	0.0009	0.0017695139911634758	1.2398989898989898
bundle_sheath_top10000	15469.0	M01050	751.0	338.0	0.0009	0.0017695139911634758	2.2218934911242605
bundle_sheath_top10000	15469.0	M01051	996.0	300.0	0.0009	0.0017695139911634758	3.32
bundle_sheath_top10000	15469.0	M01052	525.0	266.0	0.0009	0.0017695139911634758	1.9736842105263157
bundle_sheath_top10000	15469.0	M01053	225.0	327.0	1.0	1.0	0.6880733944954128
bundle_sheath_top10000	15469.0	M01055	270.0	340.0	1.0	1.0	0.7941176470588235
bundle_sheath_top10000	15469.0	M01056	362.0	312.0	0.002	0.0037765205091937768	1.1602564102564104
bundle_sheath_top10000	15469.0	M01057	560.0	433.0	0.0009	0.0017695139911634758	1.2933025404157044
bundle_sheath_top10000	15469.0	M01058	439.0	322.0	0.0009	0.0017695139911634758	1.3633540372670807
bundle_sheath_top10000	15469.0	M01059	567.0	453.0	0.0009	0.0017695139911634758	1.2516556291390728
