dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
mesophyll_top10000	15121.0	M00008	351.0	166.0	0.0009	0.001804054054054054	2.1144578313253013
mesophyll_top10000	15121.0	M00153	622.0	378.0	0.0009	0.001804054054054054	1.6455026455026456
mesophyll_top10000	15121.0	M00154	667.0	320.0	0.0009	0.001804054054054054	2.084375
mesophyll_top10000	15121.0	M00216	362.0	119.0	0.0009	0.001804054054054054	3.042016806722689
mesophyll_top10000	15121.0	M00662	867.0	391.0	0.0009	0.001804054054054054	2.217391304347826
mesophyll_top10000	15121.0	M00717	966.0	323.0	0.0009	0.001804054054054054	2.9907120743034055
mesophyll_top10000	15121.0	M00718	1106.0	300.0	0.0009	0.001804054054054054	3.6866666666666665
mesophyll_top10000	15121.0	M00719	917.0	370.0	0.0009	0.001804054054054054	2.4783783783783786
mesophyll_top10000	15121.0	M00720	858.0	327.0	0.0009	0.001804054054054054	2.623853211009174
mesophyll_top10000	15121.0	M00721	1042.0	293.0	0.0009	0.001804054054054054	3.5563139931740615
mesophyll_top10000	15121.0	M00722	363.0	154.0	0.0009	0.001804054054054054	2.357142857142857
mesophyll_top10000	15121.0	M00723	203.0	412.0	1.0	1.0	0.49271844660194175
mesophyll_top10000	15121.0	M00724	432.0	315.0	0.0009	0.001804054054054054	1.3714285714285714
mesophyll_top10000	15121.0	M00725	314.0	181.0	0.0009	0.001804054054054054	1.7348066298342542
mesophyll_top10000	15121.0	M00726	445.0	391.0	0.006	0.011525179856115108	1.1381074168797953
mesophyll_top10000	15121.0	M00727	319.0	285.0	0.03	0.05516528925619835	1.119298245614035
mesophyll_top10000	15121.0	M00728	403.0	369.0	0.042	0.076078697421981	1.0921409214092141
mesophyll_top10000	15121.0	M00729	420.0	493.0	1.0	1.0	0.8519269776876268
mesophyll_top10000	15121.0	M00730	516.0	275.0	0.0009	0.001804054054054054	1.8763636363636365
mesophyll_top10000	15121.0	M00731	383.0	437.0	1.0	1.0	0.8764302059496567
mesophyll_top10000	15121.0	M00732	288.0	339.0	0.999	1.0	0.8495575221238938
mesophyll_top10000	15121.0	M00750	348.0	103.0	0.0009	0.001804054054054054	3.378640776699029
mesophyll_top10000	15121.0	M00751	725.0	501.0	0.0009	0.001804054054054054	1.4471057884231537
mesophyll_top10000	15121.0	M00840	517.0	385.0	0.0009	0.001804054054054054	1.3428571428571427
mesophyll_top10000	15121.0	M00841	640.0	339.0	0.0009	0.001804054054054054	1.887905604719764
mesophyll_top10000	15121.0	M00842	495.0	473.0	0.148	0.2559326424870466	1.0465116279069768
mesophyll_top10000	15121.0	M00843	612.0	483.0	0.0009	0.001804054054054054	1.2670807453416149
mesophyll_top10000	15121.0	M00844	667.0	518.0	0.0009	0.001804054054054054	1.2876447876447876
mesophyll_top10000	15121.0	M00845	262.0	429.0	1.0	1.0	0.6107226107226107
mesophyll_top10000	15121.0	M00847	839.0	334.0	0.0009	0.001804054054054054	2.5119760479041915
mesophyll_top10000	15121.0	M00848	303.0	118.0	0.0009	0.001804054054054054	2.5677966101694913
mesophyll_top10000	15121.0	M00849	471.0	237.0	0.0009	0.001804054054054054	1.9873417721518987
