TF	TG	GO_term	q-value	enrichment_fold
Zm00001d000112	Zm00001d000120			
Zm00001d000112	Zm00001d000176			
Zm00001d000112	Zm00001d000199			
Zm00001d000112	Zm00001d000314			
Zm00001d000112	Zm00001d000316			
Zm00001d000112	Zm00001d000399			
Zm00001d000112	Zm00001d001820	photomorphogenesis	4.236e-02	3.00378
Zm00001d000112	Zm00001d001980			
Zm00001d000112	Zm00001d002069			
Zm00001d000112	Zm00001d002086			
Zm00001d000112	Zm00001d002163			
Zm00001d000112	Zm00001d002169			
Zm00001d000112	Zm00001d002288	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d002288	red or far-red light signaling pathway	1.330e-02	5.02061
Zm00001d000112	Zm00001d002288	detection of external stimulus	4.055e-02	5.15744
Zm00001d000112	Zm00001d002288	detection of abiotic stimulus	4.055e-02	5.15744
Zm00001d000112	Zm00001d002288	photomorphogenesis	4.236e-02	3.00378
Zm00001d000112	Zm00001d002288	response to low light intensity stimulus	4.407e-02	7.50946
Zm00001d000112	Zm00001d002302			
Zm00001d000112	Zm00001d002346			
Zm00001d000112	Zm00001d002396			
Zm00001d000112	Zm00001d002415			
Zm00001d000112	Zm00001d002454			
Zm00001d000112	Zm00001d002542			
Zm00001d000112	Zm00001d002550			
Zm00001d000112	Zm00001d002642	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d002642	red or far-red light signaling pathway	1.330e-02	5.02061
Zm00001d000112	Zm00001d002658			
Zm00001d000112	Zm00001d002690			
Zm00001d000112	Zm00001d002700			
Zm00001d000112	Zm00001d002822			
Zm00001d000112	Zm00001d002868			
Zm00001d000112	Zm00001d002871			
Zm00001d000112	Zm00001d002934			
Zm00001d000112	Zm00001d002992			
Zm00001d000112	Zm00001d003429			
Zm00001d000112	Zm00001d003459			
Zm00001d000112	Zm00001d003477	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d003477	phototropism	2.276e-03	9.42566
Zm00001d000112	Zm00001d003477	detection of external stimulus	4.055e-02	5.15744
Zm00001d000112	Zm00001d003477	detection of abiotic stimulus	4.055e-02	5.15744
Zm00001d000112	Zm00001d003477	photomorphogenesis	4.236e-02	3.00378
Zm00001d000112	Zm00001d003477	response to low light intensity stimulus	4.407e-02	7.50946
Zm00001d000112	Zm00001d003632			
Zm00001d000112	Zm00001d003791			
Zm00001d000112	Zm00001d003897			
Zm00001d000112	Zm00001d003905			
Zm00001d000112	Zm00001d003925			
Zm00001d000112	Zm00001d003927			
Zm00001d000112	Zm00001d003958			
Zm00001d000112	Zm00001d004172			
Zm00001d000112	Zm00001d004193			
Zm00001d000112	Zm00001d004343			
Zm00001d000112	Zm00001d004396			
Zm00001d000112	Zm00001d004564			
Zm00001d000112	Zm00001d004677			
Zm00001d000112	Zm00001d004702			
Zm00001d000112	Zm00001d004785			
Zm00001d000112	Zm00001d004894	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d004910			
Zm00001d000112	Zm00001d004978			
Zm00001d000112	Zm00001d004992			
Zm00001d000112	Zm00001d005135	phototropism	2.276e-03	9.42566
Zm00001d000112	Zm00001d005159			
Zm00001d000112	Zm00001d005256			
Zm00001d000112	Zm00001d005532			
Zm00001d000112	Zm00001d005791			
Zm00001d000112	Zm00001d005866			
Zm00001d000112	Zm00001d005996	regulation of photosynthesis	4.580e-02	4.9699
Zm00001d000112	Zm00001d006098			
Zm00001d000112	Zm00001d006160			
Zm00001d000112	Zm00001d006176			
Zm00001d000112	Zm00001d006180			
Zm00001d000112	Zm00001d006183			
Zm00001d000112	Zm00001d006212	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d006212	red or far-red light signaling pathway	1.330e-02	5.02061
Zm00001d000112	Zm00001d006212	photomorphogenesis	4.236e-02	3.00378
Zm00001d000112	Zm00001d006342			
Zm00001d000112	Zm00001d006348	response to red light	7.789e-04	4.71283
Zm00001d000112	Zm00001d006353			
Zm00001d000112	Zm00001d006430			
Zm00001d000112	Zm00001d006553			
Zm00001d000112	Zm00001d006565			
Zm00001d000112	Zm00001d006651			
Zm00001d000112	Zm00001d006663			
Zm00001d000112	Zm00001d006673			
Zm00001d000112	Zm00001d006726			
Zm00001d000112	Zm00001d006834			
Zm00001d000112	Zm00001d006836	phototropism	2.276e-03	9.42566
Zm00001d000112	Zm00001d006853			
Zm00001d000112	Zm00001d007102			
Zm00001d000112	Zm00001d007288			
Zm00001d000112	Zm00001d007316			
Zm00001d000112	Zm00001d007339			
Zm00001d000112	Zm00001d007345			
Zm00001d000112	Zm00001d007585			
Zm00001d000112	Zm00001d007692	negative regulation of transport	1.447e-02	15.6197
Zm00001d000112	Zm00001d007716			
Zm00001d000112	Zm00001d007754			
