#TF	TG
Zm00001d000112	Zm00001d000120
Zm00001d000112	Zm00001d000176
Zm00001d000112	Zm00001d000189
Zm00001d000112	Zm00001d000191
Zm00001d000112	Zm00001d000193
Zm00001d000112	Zm00001d000199
Zm00001d000112	Zm00001d000314
Zm00001d000112	Zm00001d000316
Zm00001d000112	Zm00001d000399
Zm00001d000112	Zm00001d000401
Zm00001d000112	Zm00001d000452
Zm00001d000112	Zm00001d000523
Zm00001d000112	Zm00001d000524
Zm00001d000112	Zm00001d000525
Zm00001d000112	Zm00001d000542
Zm00001d000112	Zm00001d000561
Zm00001d000112	Zm00001d000616
Zm00001d000112	Zm00001d000656
Zm00001d000112	Zm00001d000659
Zm00001d000112	Zm00001d000710
Zm00001d000112	Zm00001d000744
Zm00001d000112	Zm00001d000841
Zm00001d000112	Zm00001d000863
Zm00001d000112	Zm00001d000867
Zm00001d000112	Zm00001d000869
Zm00001d000112	Zm00001d001007
Zm00001d000112	Zm00001d001160
Zm00001d000112	Zm00001d001188
Zm00001d000112	Zm00001d001206
Zm00001d000112	Zm00001d001246
Zm00001d000112	Zm00001d001299
Zm00001d000112	Zm00001d001302
Zm00001d000112	Zm00001d001303
Zm00001d000112	Zm00001d001321
Zm00001d000112	Zm00001d001450
Zm00001d000112	Zm00001d001514
Zm00001d000112	Zm00001d001523
Zm00001d000112	Zm00001d001580
Zm00001d000112	Zm00001d001616
Zm00001d000112	Zm00001d001628
Zm00001d000112	Zm00001d001723
Zm00001d000112	Zm00001d001820
Zm00001d000112	Zm00001d001852
Zm00001d000112	Zm00001d001980
Zm00001d000112	Zm00001d002069
Zm00001d000112	Zm00001d002086
Zm00001d000112	Zm00001d002163
Zm00001d000112	Zm00001d002169
Zm00001d000112	Zm00001d002179
Zm00001d000112	Zm00001d002238
Zm00001d000112	Zm00001d002288
Zm00001d000112	Zm00001d002301
Zm00001d000112	Zm00001d002302
Zm00001d000112	Zm00001d002346
Zm00001d000112	Zm00001d002396
Zm00001d000112	Zm00001d002415
Zm00001d000112	Zm00001d002454
Zm00001d000112	Zm00001d002532
Zm00001d000112	Zm00001d002542
Zm00001d000112	Zm00001d002550
Zm00001d000112	Zm00001d002568
Zm00001d000112	Zm00001d002577
Zm00001d000112	Zm00001d002642
Zm00001d000112	Zm00001d002658
Zm00001d000112	Zm00001d002690
Zm00001d000112	Zm00001d002700
Zm00001d000112	Zm00001d002736
Zm00001d000112	Zm00001d002822
Zm00001d000112	Zm00001d002868
Zm00001d000112	Zm00001d002871
Zm00001d000112	Zm00001d002934
Zm00001d000112	Zm00001d002992
Zm00001d000112	Zm00001d003046
Zm00001d000112	Zm00001d003232
Zm00001d000112	Zm00001d003234
Zm00001d000112	Zm00001d003317
Zm00001d000112	Zm00001d003429
Zm00001d000112	Zm00001d003459
Zm00001d000112	Zm00001d003467
Zm00001d000112	Zm00001d003477
Zm00001d000112	Zm00001d003632
Zm00001d000112	Zm00001d003791
Zm00001d000112	Zm00001d003897
Zm00001d000112	Zm00001d003905
Zm00001d000112	Zm00001d003925
Zm00001d000112	Zm00001d003927
Zm00001d000112	Zm00001d003958
Zm00001d000112	Zm00001d004027
Zm00001d000112	Zm00001d004102
Zm00001d000112	Zm00001d004172
Zm00001d000112	Zm00001d004193
Zm00001d000112	Zm00001d004197
Zm00001d000112	Zm00001d004227
Zm00001d000112	Zm00001d004277
Zm00001d000112	Zm00001d004292
Zm00001d000112	Zm00001d004342
Zm00001d000112	Zm00001d004343
Zm00001d000112	Zm00001d004396
Zm00001d000112	Zm00001d004491
Zm00001d000112	Zm00001d004564
