#TF	TG
Zm00001d000112	Zm00001d000120
Zm00001d000112	Zm00001d000176
Zm00001d000112	Zm00001d000199
Zm00001d000112	Zm00001d000314
Zm00001d000112	Zm00001d000316
Zm00001d000112	Zm00001d000399
Zm00001d000112	Zm00001d001820
Zm00001d000112	Zm00001d001980
Zm00001d000112	Zm00001d002069
Zm00001d000112	Zm00001d002086
Zm00001d000112	Zm00001d002163
Zm00001d000112	Zm00001d002169
Zm00001d000112	Zm00001d002288
Zm00001d000112	Zm00001d002302
Zm00001d000112	Zm00001d002346
Zm00001d000112	Zm00001d002396
Zm00001d000112	Zm00001d002415
Zm00001d000112	Zm00001d002454
Zm00001d000112	Zm00001d002542
Zm00001d000112	Zm00001d002550
Zm00001d000112	Zm00001d002642
Zm00001d000112	Zm00001d002658
Zm00001d000112	Zm00001d002690
Zm00001d000112	Zm00001d002700
Zm00001d000112	Zm00001d002822
Zm00001d000112	Zm00001d002868
Zm00001d000112	Zm00001d002871
Zm00001d000112	Zm00001d002934
Zm00001d000112	Zm00001d002992
Zm00001d000112	Zm00001d003429
Zm00001d000112	Zm00001d003459
Zm00001d000112	Zm00001d003477
Zm00001d000112	Zm00001d003632
Zm00001d000112	Zm00001d003791
Zm00001d000112	Zm00001d003897
Zm00001d000112	Zm00001d003905
Zm00001d000112	Zm00001d003925
Zm00001d000112	Zm00001d003927
Zm00001d000112	Zm00001d003958
Zm00001d000112	Zm00001d004172
Zm00001d000112	Zm00001d004193
Zm00001d000112	Zm00001d004343
Zm00001d000112	Zm00001d004396
Zm00001d000112	Zm00001d004564
Zm00001d000112	Zm00001d004677
Zm00001d000112	Zm00001d004702
Zm00001d000112	Zm00001d004785
Zm00001d000112	Zm00001d004894
Zm00001d000112	Zm00001d004910
Zm00001d000112	Zm00001d004978
Zm00001d000112	Zm00001d004992
Zm00001d000112	Zm00001d005135
Zm00001d000112	Zm00001d005159
Zm00001d000112	Zm00001d005256
Zm00001d000112	Zm00001d005532
Zm00001d000112	Zm00001d005791
Zm00001d000112	Zm00001d005866
Zm00001d000112	Zm00001d005996
Zm00001d000112	Zm00001d006098
Zm00001d000112	Zm00001d006160
Zm00001d000112	Zm00001d006176
Zm00001d000112	Zm00001d006180
Zm00001d000112	Zm00001d006183
Zm00001d000112	Zm00001d006212
Zm00001d000112	Zm00001d006342
Zm00001d000112	Zm00001d006348
Zm00001d000112	Zm00001d006353
Zm00001d000112	Zm00001d006430
Zm00001d000112	Zm00001d006553
Zm00001d000112	Zm00001d006565
Zm00001d000112	Zm00001d006651
Zm00001d000112	Zm00001d006663
Zm00001d000112	Zm00001d006673
Zm00001d000112	Zm00001d006726
Zm00001d000112	Zm00001d006834
Zm00001d000112	Zm00001d006836
Zm00001d000112	Zm00001d006853
Zm00001d000112	Zm00001d007102
Zm00001d000112	Zm00001d007288
Zm00001d000112	Zm00001d007316
Zm00001d000112	Zm00001d007339
Zm00001d000112	Zm00001d007345
Zm00001d000112	Zm00001d007585
Zm00001d000112	Zm00001d007692
Zm00001d000112	Zm00001d007716
Zm00001d000112	Zm00001d007754
Zm00001d000112	Zm00001d007757
Zm00001d000112	Zm00001d007778
Zm00001d000112	Zm00001d007783
Zm00001d000112	Zm00001d008278
Zm00001d000112	Zm00001d008440
Zm00001d000112	Zm00001d008540
Zm00001d000112	Zm00001d008706
Zm00001d000112	Zm00001d008789
Zm00001d000112	Zm00001d008791
Zm00001d000112	Zm00001d008805
Zm00001d000112	Zm00001d008808
Zm00001d000112	Zm00001d008839
Zm00001d000112	Zm00001d009446
Zm00001d000112	Zm00001d009661
