#TF	TG
Zm00001d000112	Zm00001d000085
Zm00001d000112	Zm00001d000120
Zm00001d000112	Zm00001d000133
Zm00001d000112	Zm00001d000170
Zm00001d000112	Zm00001d000176
Zm00001d000112	Zm00001d000178
Zm00001d000112	Zm00001d000193
Zm00001d000112	Zm00001d000199
Zm00001d000112	Zm00001d000238
Zm00001d000112	Zm00001d000291
Zm00001d000112	Zm00001d000316
Zm00001d000112	Zm00001d000399
Zm00001d000112	Zm00001d000501
Zm00001d000112	Zm00001d000523
Zm00001d000112	Zm00001d000524
Zm00001d000112	Zm00001d000525
Zm00001d000112	Zm00001d000559
Zm00001d000112	Zm00001d000561
Zm00001d000112	Zm00001d000616
Zm00001d000112	Zm00001d000653
Zm00001d000112	Zm00001d000656
Zm00001d000112	Zm00001d000659
Zm00001d000112	Zm00001d000665
Zm00001d000112	Zm00001d000744
Zm00001d000112	Zm00001d000780
Zm00001d000112	Zm00001d000841
Zm00001d000112	Zm00001d000863
Zm00001d000112	Zm00001d000867
Zm00001d000112	Zm00001d000869
Zm00001d000112	Zm00001d000878
Zm00001d000112	Zm00001d001022
Zm00001d000112	Zm00001d001133
Zm00001d000112	Zm00001d001160
Zm00001d000112	Zm00001d001202
Zm00001d000112	Zm00001d001206
Zm00001d000112	Zm00001d001220
Zm00001d000112	Zm00001d001246
Zm00001d000112	Zm00001d001312
Zm00001d000112	Zm00001d001432
Zm00001d000112	Zm00001d001514
Zm00001d000112	Zm00001d001523
Zm00001d000112	Zm00001d001580
Zm00001d000112	Zm00001d001616
Zm00001d000112	Zm00001d001628
Zm00001d000112	Zm00001d001664
Zm00001d000112	Zm00001d001671
Zm00001d000112	Zm00001d001723
Zm00001d000112	Zm00001d001820
Zm00001d000112	Zm00001d001980
Zm00001d000112	Zm00001d002022
Zm00001d000112	Zm00001d002032
Zm00001d000112	Zm00001d002069
Zm00001d000112	Zm00001d002086
Zm00001d000112	Zm00001d002169
Zm00001d000112	Zm00001d002179
Zm00001d000112	Zm00001d002302
Zm00001d000112	Zm00001d002377
Zm00001d000112	Zm00001d002415
Zm00001d000112	Zm00001d002432
Zm00001d000112	Zm00001d002454
Zm00001d000112	Zm00001d002532
Zm00001d000112	Zm00001d002541
Zm00001d000112	Zm00001d002577
Zm00001d000112	Zm00001d002655
Zm00001d000112	Zm00001d002690
Zm00001d000112	Zm00001d002700
Zm00001d000112	Zm00001d002703
Zm00001d000112	Zm00001d002803
Zm00001d000112	Zm00001d002821
Zm00001d000112	Zm00001d002822
Zm00001d000112	Zm00001d002842
Zm00001d000112	Zm00001d002992
Zm00001d000112	Zm00001d003009
Zm00001d000112	Zm00001d003046
Zm00001d000112	Zm00001d003136
Zm00001d000112	Zm00001d003234
Zm00001d000112	Zm00001d003283
Zm00001d000112	Zm00001d003317
Zm00001d000112	Zm00001d003404
Zm00001d000112	Zm00001d003414
Zm00001d000112	Zm00001d003429
Zm00001d000112	Zm00001d003459
Zm00001d000112	Zm00001d003477
Zm00001d000112	Zm00001d003584
Zm00001d000112	Zm00001d003632
Zm00001d000112	Zm00001d003777
Zm00001d000112	Zm00001d003784
Zm00001d000112	Zm00001d003797
Zm00001d000112	Zm00001d003800
Zm00001d000112	Zm00001d003866
Zm00001d000112	Zm00001d003905
Zm00001d000112	Zm00001d003914
Zm00001d000112	Zm00001d003915
Zm00001d000112	Zm00001d003925
Zm00001d000112	Zm00001d003927
Zm00001d000112	Zm00001d003964
Zm00001d000112	Zm00001d003975
Zm00001d000112	Zm00001d003983
Zm00001d000112	Zm00001d004039
Zm00001d000112	Zm00001d004102
