gene_id,gene_name,description,ath_gene_id,ath_alias,gene_name_figs
Zm00001eb334640,Zm00001eb334640,AT3g10020/T22K18_16; Expressed protein;  protein,AT3G58470,,Zm00001eb334640
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38260,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66930,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66910,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66920,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G67000,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G39020,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38250,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38240,,Zm00001eb334650
Zm00001eb334650,Zm00001eb334650,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G39030,,Zm00001eb334650
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G39030,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38250,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38240,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G39020,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66930,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G67000,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66920,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT1G66910,,Zm00001eb334680
Zm00001eb334680,Zm00001eb334680,AT3g10020/T22K18_16; Expressed protein;  protein,AT5G38260,,Zm00001eb334680
