gene_id,family
Zm00001eb179440,Unknown
Zm00001eb279020,Unknown
Zm00001eb281290,Unknown
Zm00001eb316850,Unknown
Zm00001eb041850,Unknown
Zm00001eb190840,Unknown
Zm00001eb148770,Unknown
Zm00001eb101980,Unknown
Zm00001eb259250,Unknown
Zm00001eb259240,Unknown
Zm00001eb243000,E2F/DP
Zm00001eb181510,E2F/DP
Zm00001eb089380,E2F/DP
Zm00001eb407120,E2F/DP
Zm00001eb113250,E2F/DP
Zm00001eb053560,E2F/DP
Zm00001eb244670,E2F/DP
Zm00001eb292470,E2F/DP
Zm00001eb052680,Unknown
Zm00001eb218190,Unknown
Zm00001eb220320,NF-YA
Zm00001eb431380,E2F/DP
Zm00001eb373690,E2F/DP
Zm00001eb242090,ERF
Zm00001eb340140,ERF
Zm00001eb071190,ERF
Zm00001eb202570,ERF
Zm00001eb084810,ERF
Zm00001eb084820,ERF
Zm00001eb289170,ERF
Zm00001eb318060,ERF
Zm00001eb100800,ERF
Zm00001eb146650,ERF
Zm00001eb130510,ERF
Zm00001eb422470,ERF
Zm00001eb037040,ERF
Zm00001eb038070,ERF
Zm00001eb421430,ERF
Zm00001eb430640,ERF
Zm00001eb348560,ERF
Zm00001eb407760,ERF
Zm00001eb004020,ERF
Zm00001eb222470,ERF
Zm00001eb307600,ERF
Zm00001eb352570,ERF
Zm00001eb359500,ERF
Zm00001eb157940,ERF
Zm00001eb157950,ERF
Zm00001eb065180,ERF
Zm00001eb065170,ERF
Zm00001eb192960,ERF
Zm00001eb006180,ERF
Zm00001eb413930,ERF
Zm00001eb291730,ERF
Zm00001eb421530,ERF
Zm00001eb242140,ERF
Zm00001eb040690,ERF
Zm00001eb313850,ERF
Zm00001eb074930,ERF
Zm00001eb195490,ERF
Zm00001eb234870,ERF
Zm00001eb084720,ERF
Zm00001eb429870,ERF
Zm00001eb285760,ERF
Zm00001eb171050,ERF
Zm00001eb255860,ERF
Zm00001eb257170,ERF
Zm00001eb393510,ERF
Zm00001eb369560,ERF
Zm00001eb206360,ERF
Zm00001eb099980,ERF
Zm00001eb374110,ERF
Zm00001eb303690,ERF
Zm00001eb303680,ERF
Zm00001eb352580,ERF
Zm00001eb150840,ERF
Zm00001eb271260,ERF
Zm00001eb376110,ERF
Zm00001eb153470,ERF
Zm00001eb074900,ERF
Zm00001eb074910,ERF
Zm00001eb291720,ERF
Zm00001eb343790,ERF
Zm00001eb249320,ERF
Zm00001eb193670,ERF
Zm00001eb295930,ERF
Zm00001eb249290,ERF
Zm00001eb375660,bHLH
Zm00001eb312850,bHLH
Zm00001eb258240,bHLH
Zm00001eb417610,bHLH
Zm00001eb059460,bHLH
Zm00001eb374700,bHLH
Zm00001eb129520,bHLH
Zm00001eb129510,bHLH
Zm00001eb050790,bHLH
Zm00001eb099470,bHLH
Zm00001eb332400,bHLH
Zm00001eb031560,bHLH
Zm00001eb034980,EIL
Zm00001eb316730,EIL
Zm00001eb111680,EIL
Zm00001eb015440,EIL
Zm00001eb331080,EIL
Zm00001eb395480,EIL
Zm00001eb293740,GATA
Zm00001eb371070,GATA
Zm00001eb427580,GATA
Zm00001eb391280,GATA
Zm00001eb023340,GATA
Zm00001eb023330,GATA
