gene_id,family
AT1G01010,NAC
AT1G01060,MYB_related
AT1G01250,ERF
AT1G01260,bHLH
AT1G01520,MYB_related
AT1G01720,NAC
AT1G02030,C2H2
AT1G02040,C2H2
AT1G02065,SBP
AT1G02230,NAC
AT1G02250,NAC
AT1G03800,ERF
AT1G03840,C2H2
AT1G03970,bZIP
AT1G04370,ERF
AT1G04880,ARID
AT1G05230,HD-ZIP
AT1G05805,bHLH
AT1G06070,bZIP
AT1G06160,ERF
AT1G06180,MYB
AT1G06280,LBD
AT1G06850,bZIP
AT1G07540,MYB_related
AT1G07640,Dof
AT1G08000,GATA
AT1G08010,GATA
AT1G08320,bZIP
AT1G08465,YABBY
AT1G08810,MYB_related
AT1G09030,NF-YB
AT1G09530,bHLH
AT1G09540,MYB
AT1G09770,MYB
AT1G10120,bHLH
AT1G10480,C2H2
AT1G10720,BSD
AT1G12260,NAC
AT1G12610,ERF
AT1G12630,ERF
AT1G12890,ERF
AT1G12980,ERF
AT1G13260,RAV
AT1G13300,G2-like
AT1G13400,Unknown
AT1G13450,Trihelix
AT1G13960,WRKY
AT1G14350,MYB
AT1G14580,C2H2
AT1G14600,G2-like
AT1G14687,ZF-HD
AT1G14900,Unknown
AT1G15360,ERF
AT1G15720,MYB_related
AT1G16060,AP2
AT1G16490,MYB
AT1G16530,LBD
AT1G17520,MYB_related
AT1G17920,HD-ZIP
AT1G17950,MYB
AT1G18330,MYB_related
AT1G18570,MYB
AT1G18790,Nin-like
AT1G18860,WRKY
AT1G18960,MYB_related
AT1G19000,MYB_related
AT1G19040,NAC
AT1G19210,ERF
AT1G19220,ARF
AT1G19350,BES1
AT1G19485,Unknown
AT1G19700,TALE
AT1G19790,SRS
AT1G19850,ARF
AT1G20640,Nin-like
AT1G20693,HMG
AT1G20696,HMG
AT1G20700,WOX
AT1G20710,WOX
AT1G20910,ARID
AT1G20980,SBP
AT1G21340,Dof
AT1G21910,ERF
AT1G22070,bZIP
AT1G22130,MIKC_MADS
AT1G22190,ERF
AT1G22640,MYB
AT1G22810,ERF
AT1G22985,ERF
AT1G23380,TALE
AT1G23420,YABBY
AT1G23810,Unknown
AT1G24250,Unknown
AT1G24260,MIKC_MADS
AT1G24590,ERF
AT1G25250,C2H2
AT1G25330,bHLH
AT1G25340,MYB
AT1G25550,G2-like
AT1G25560,RAV
AT1G25580,NAC
AT1G26260,bHLH
AT1G26310,MIKC_MADS
AT1G26780,MYB
AT1G26790,Dof
AT1G26870,NAC
AT1G26960,HD-ZIP
AT1G27045,HD-ZIP
AT1G27360,SBP
AT1G27370,SBP
AT1G27730,C2H2
AT1G28160,ERF
AT1G28300,B3
AT1G28310,Dof
AT1G28360,ERF
AT1G28370,ERF
AT1G28420,HB-other
AT1G28470,NAC
AT1G28520,VOZ
AT1G29160,Dof
AT1G29280,WRKY
AT1G29860,WRKY
AT1G30210,TCP
AT1G30330,ARF
AT1G30490,HD-ZIP
AT1G30650,WRKY
AT1G31140,MIKC_MADS
AT1G31320,LBD
AT1G32150,bZIP
AT1G32240,G2-like
AT1G32330,HSF
AT1G32510,NAC
AT1G32640,bHLH
AT1G32770,NAC
AT1G32870,NAC
AT1G33060,NAC
AT1G33240,Trihelix
AT1G33280,NAC
AT1G33760,ERF
AT1G34180,NAC
AT1G34190,NAC
AT1G34370,C2H2
AT1G34670,MYB
AT1G35460,bHLH
AT1G35515,MYB
AT1G35560,TCP
AT1G36060,ERF
AT1G42990,bZIP
AT1G43160,ERF
AT1G43700,bZIP
AT1G44830,ERF
AT1G45249,bZIP
AT1G46264,HSF
AT1G46480,WOX
AT1G46768,ERF
AT1G47655,Dof
