gene_id	type	motif_min_rank	min_motif_rank	min_q_val	min_enr_fold	min_pi_value	gene_name	description	ath_gene_id	ath_alias	gene_name_figs	Expressed gene	Gene description_DE	P value_DE	Avg_log2(FC)_DE	pct.1_DE	pct.2_DE	Adjusted P value_DE	Cluster_DE
Zm00001d000112	TF	M00970	136.0	0.0017695139911634758	2.4248366013071894	6.67350435085723	NAC-transcription factor 125	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 125 (ATAF2)	True							
Zm00001d000179	TF	M00843	435.0	0.0017695139911634758	1.5242494226327945	4.194956950191188	DRE-binding protein 2	AP2-EREBP-transcription factor 1	AT2G44940		DRE-binding protein 2	True							
Zm00001d000184	TF	M01078	334.0	0.0017695139911634758	1.7575757575757576	4.8371050893986	single-repeat Myb protein1	single-repeat Myb protein1	AT5G47390	MYBH	single-repeat Myb protein1 (MYBH)	True							
Zm00001d000247	TF	M01252	1.0	0.0017695139911634758	5.225	14.379962845509544	Homeobox-transcription factor 17	Homeobox-leucine zipper protein MERISTEM L1	AT4G04890	PDF2	Homeobox-transcription factor 17 (PDF2)	True							
Zm00001d000291	TF	M00722	229.0	0.0017695139911634758	2.0764331210191083	5.7146471064957325	bHLH-transcription factor 88	Transcription factor bHLH69	AT2G24260	LRL1	bHLH-transcription factor 88 (LRL1)	True							
Zm00001d000339	TF	M00719	40.0	0.0017695139911634758	3.115207373271889	8.573505508843473	AP2-EREBP-transcription factor 92	Ethylene-responsive transcription factor 4%3B Putative AP2/EREBP transcription factor superfamily protein	AT5G44210	ERF9	AP2-EREBP-transcription factor 92 (ERF9)	True	Ethylene-responsive transcription factor 4%3B Putative AP2/EREBP transcription factor superfamily protein  	1e-06	0.41200520548361697	0.642	0.361	0.0140019468443378	Bundle_sheath
Zm00001d000358	TF	M06708	711.0	0.005625	1.1515151515151516	2.5907679994615394	ARF-transcription factor 21	Auxin response factor 16	AT4G30080	ARF16	ARF-transcription factor 21 (ARF16)	True							
Zm00001d001837	TF	M02307	343.0	0.0017695139911634758	1.7459954233409611	4.805234318865594	MYB-transcription factor 133	Duplicated homeodomain-like superfamily protein	AT5G08520		MYB-transcription factor 133	True							
Zm00001d002011	TF	M01603	52.0	0.0017695139911634758	2.958333333333333	8.141765247457556	AP2-EREBP-transcription factor 45	Ethylene-responsive transcription factor ERF003	AT5G25190	ESE3	AP2-EREBP-transcription factor 45 (ESE3)	True							
Zm00001d002079	TF	M00844	396.0	0.0017695139911634758	1.6103646833013436	4.431958720305085	AP2-EREBP-transcription factor 47	Dehydration responsive element binding protein	AT2G23340	DEAR3	AP2-EREBP-transcription factor 47 (DEAR3)	True							
Zm00001d002234	TF	M01252	1.0	0.0017695139911634758	5.225	14.379962845509544	Homeobox-transcription factor 75	Homeodomain leucine zipper family IV protein	AT4G04890	PDF2	Homeobox-transcription factor 75 (PDF2)	True	Homeodomain leucine zipper family IV protein  	0.0	-1.4981608268050302	0.03	0.276	0.0	BSCs
Zm00001d002449	TF	M02692	735.0	0.01628048780487805	1.1474103585657371	2.051951334520874	Zea floricaula leafy2	Floricaula/leafy-like 2	AT5G61850	LFY3	Zea floricaula leafy2 (LFY3)	True							
Zm00001d002654	TF	M06795	466.0	0.0017695139911634758	1.4787644787644787	4.069775743902869	naked endosperm1	naked endosperm1	AT2G02070	IDD5	naked endosperm1 (IDD5)	True							
Zm00001d002744	TF	M00843	435.0	0.0017695139911634758	1.5242494226327945	4.194956950191188	AP2-EREBP-transcription factor 6	Dehydration-responsive element-binding protein 1C	AT2G35700	ERF38	AP2-EREBP-transcription factor 6 (ERF38)	True							
Zm00001d002754	TF	M01065	15.0	0.0017695139911634758	3.506849315068493	9.651361312054647	Homeobox-transcription factor 53	Homeobox-leucine zipper protein ATHB-4	AT4G16780	HB-2	Homeobox-transcription factor 53 (HB-2)	True							
Zm00001d002760	TF	M00719	4.0	0.0017695139911634758	4.015748031496063	11.05192487843856	AP2-EREBP-transcription factor 61	Ethylene-responsive transcription factor ERF105	AT4G17490	ERF6	AP2-EREBP-transcription factor 61 (ERF6)	True							
Zm00001d002762	TF	M00719	4.0	0.0017695139911634758	4.015748031496063	11.05192487843856	AP2-EREBP-transcription factor 198	Ethylene-responsive transcription factor 2	AT4G17500	ERF-1	AP2-EREBP-transcription factor 198 (ERF-1)	True							
Zm00001d002801	TF	M06968	299.0	0.0017695139911634758	1.8732057416267944	5.15533568738535	Trihelix-transcription factor 12	GT-2-like 1	AT1G76890	GT2	Trihelix-transcription factor 12 (GT2)	True							
Zm00001d002811	TF	M00727	452.0	0.0017695139911634758	1.5018587360594795	4.133334511720429	C2C2-GATA-transcription factor 11	GATA zinc finger family protein	AT5G66320	GATA5	C2C2-GATA-transcription factor 11 (GATA5)	True							
Zm00001d002829	TF	M00889	300.0	0.0017695139911634758	1.8584686774942	5.114777135293753	C2C2-YABBY-transcription factor 1	Axial regulator YABBY 1	AT2G45190	YAB1	C2C2-YABBY-transcription factor 1 (YAB1)	True							
Zm00001d003064	TF	M02699	549.0	0.0017695139911634758	1.3617021276595744	3.747603062659517	MYB-transcription factor 72	R2R3MYB-domain protein	AT3G23250	MYB15	MYB-transcription factor 72 (MYB15)	True							
Zm00001d003176	TF	M07248	357.0	0.0017695139911634758	1.72	4.7336911185218025	NLP-transcription factor 3	Protein NLP8	AT2G43500	NLP8	NLP-transcription factor 3 (NLP8)	True							
Zm00001d003408	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	MADS-transcription factor 63	Agamous-like MADS-box protein AGL16	AT3G57230	AGL16	MADS-transcription factor 63 (AGL16)	True							
Zm00001d003409	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	MADS-transcription factor 63	Agamous-like MADS-box protein AGL16	AT4G37940	AGL21	MADS-transcription factor 63 (AGL21)	True							
Zm00001d003412	TF	M00876	336.0	0.0017695139911634758	1.7538461538461538	4.8268406754157915	MYB-transcription factor 49	P-type R2R3 Myb protein	AT5G15310	MYB16	MYB-transcription factor 49 (MYB16)	True							
Zm00001d003414	TF	M00970	136.0	0.0017695139911634758	2.4248366013071894	6.67350435085723	NAC-transcription factor 32	NAC domain-containing protein 79	AT5G61430	NAC100	NAC-transcription factor 32 (NAC100)	True							
Zm00001d003836	TF	M01258	162.0	0.0017695139911634758	2.320113314447592	6.385290575909737	Trihelix-transcription factor 26	aspartate/glutamate/uridylate kinase family protein	AT3G10030		Trihelix-transcription factor 26	True							
Zm00001d003884	TF	M00717	4.0	0.0017695139911634758	4.015748031496063	11.05192487843856	AP2-EREBP-transcription factor 131		AT5G13330	Rap2.6L	AP2-EREBP-transcription factor 131 (Rap2.6L)	True							
