gene_id	type	motif_min_rank	min_motif_rank	min_q_val	min_enr_fold	min_pi_value	gene_name	description	ath_gene_id	ath_alias	gene_name_figs	Expressed gene	Gene description_DE	P value_DE	Avg_log2(FC)_DE	pct.1_DE	pct.2_DE	Adjusted P value_DE	Cluster_DE
Zm00001d000112	TF	M00970	18.0	0.0018040540540540538	3.2214765100671134	8.838927637144852	NAC-transcription factor 125	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 125 (ATAF2)	True							
Zm00001d000179	TF	M00843	442.0	0.0018040540540540538	1.5105882352941176	4.144677156441189	DRE-binding protein 2	AP2-EREBP-transcription factor 1	AT2G44940		DRE-binding protein 2	True							
Zm00001d000184	TF	M01078	308.0	0.0018040540540540538	1.8230088495575218	5.001881358674855	single-repeat Myb protein1	single-repeat Myb protein1	AT5G47390	MYBH	single-repeat Myb protein1 (MYBH)	True							
Zm00001d000238	TF	M02545	717.0	0.04079166666666666	1.185897435897436	1.647719754699145	GRF-transcription factor 12	Growth-regulating factor 6	AT3G13960	GRF5	GRF-transcription factor 12 (GRF5)	True							
Zm00001d000247	TF	M01252	2.0	0.0018040540540540538	5.129411764705883	14.07382585832055	Homeobox-transcription factor 17	Homeobox-leucine zipper protein MERISTEM L1	AT4G04890	PDF2	Homeobox-transcription factor 17 (PDF2)	True							
Zm00001d000291	TF	M00722	109.0	0.0018040540540540538	2.357142857142857	6.467411784500187	bHLH-transcription factor 88	Transcription factor bHLH69	AT2G24260	LRL1	bHLH-transcription factor 88 (LRL1)	True							
Zm00001d000339	TF	M00719	26.0	0.0018040540540540538	2.9573459715639814	8.114219352203595	AP2-EREBP-transcription factor 92	Ethylene-responsive transcription factor 4%3B Putative AP2/EREBP transcription factor superfamily protein	AT5G44210	ERF9	AP2-EREBP-transcription factor 92 (ERF9)	True							
Zm00001d000358	TF	M06708	682.0	0.0038978102189781024	1.175257731958763	2.8314066119028345	ARF-transcription factor 21	Auxin response factor 16	AT4G30080	ARF16	ARF-transcription factor 21 (ARF16)	True							
Zm00001d001837	TF	M02307	305.0	0.0018040540540540538	1.8271028037383177	5.013114147317193	MYB-transcription factor 133	Duplicated homeodomain-like superfamily protein	AT5G08520		MYB-transcription factor 133	True							
Zm00001d002011	TF	M01603	36.0	0.0018040540540540538	2.825688073394496	7.7529829343243835	AP2-EREBP-transcription factor 45	Ethylene-responsive transcription factor ERF003	AT5G25190	ESE3	AP2-EREBP-transcription factor 45 (ESE3)	True							
Zm00001d002079	TF	M00844	415.0	0.0018040540540540538	1.5795677799607073	4.3339398134389535	AP2-EREBP-transcription factor 47	Dehydration responsive element binding protein	AT2G23340	DEAR3	AP2-EREBP-transcription factor 47 (DEAR3)	True							
