gene_id,gene_name,description,ath_gene_id,ath_alias,gene_name_figs
GRMZM5G800780,GRMZM5G800780,Cytochrome b6,ATCG00720,PETB,GRMZM5G800780 (PETB)
GRMZM5G801074,GRMZM5G801074,"50S ribosomal protein L33, chloroplastic",ATCG00640,RPL33,GRMZM5G801074 (RPL33)
GRMZM5G801746,GRMZM5G801746,Putative uncharacterized protein orf99-f,,,GRMZM5G801746
GRMZM5G804358,GRMZM5G804358,NADH-ubiquinone oxidoreductase chain 4,ATMG00580,NAD4,GRMZM5G804358 (NAD4)
GRMZM5G804671,GRMZM5G804671,Putative uncharacterized protein orf117-c,,,GRMZM5G804671
GRMZM5G804708,GRMZM5G804708,ATP-dependent Clp protease proteolytic subunit,ATCG00670,PCLPP,GRMZM5G804708 (PCLPP)
GRMZM5G804776,GRMZM5G804776,"50S ribosomal protein L14, chloroplastic",ATCG00780,RPL14,GRMZM5G804776 (RPL14)
GRMZM5G805421,GRMZM5G805421,Putative uncharacterized protein orf163,,,GRMZM5G805421
GRMZM5G805940,GRMZM5G805940,Putative uncharacterized protein orf140-c,,,GRMZM5G805940
GRMZM5G806435,GRMZM5G806435,DNA polymerase,,,GRMZM5G806435
GRMZM5G806488,GRMZM5G806488,"30S ribosomal protein S7, chloroplastic",ATCG00900,RPS7.1,GRMZM5G806488 (RPS7.1)
GRMZM5G806488,GRMZM5G806488,"30S ribosomal protein S7, chloroplastic",ATCG01240,RPS7.2,GRMZM5G806488 (RPS7.2)
GRMZM5G808402,GRMZM5G808402,ATP synthase subunit beta,ATCG00480,PB,GRMZM5G808402 (PB)
GRMZM5G808939,GRMZM5G808939,Photosystem II CP47 reaction center protein,ATCG00680,PSBB,GRMZM5G808939 (PSBB)
GRMZM5G809869,GRMZM5G809869,"30S ribosomal protein S2, chloroplastic",ATCG00160,RPS2,GRMZM5G809869 (RPS2)
GRMZM5G811749,GRMZM5G811749,"30S ribosomal protein S16, chloroplastic",ATCG00050,RPS16,GRMZM5G811749 (RPS16)
GRMZM5G813608,GRMZM5G813608,Uncharacterized protein ycf70,,,GRMZM5G813608
GRMZM5G813949,GRMZM5G813949,Putative uncharacterized protein orf122,,,GRMZM5G813949
GRMZM5G814594,GRMZM5G814594,Putative uncharacterized protein orf128,,,GRMZM5G814594
GRMZM5G815453,GRMZM5G815453,Ribulose bisphosphate carboxylase large chain,ATCG00490,RBCL,GRMZM5G815453 (RBCL)
GRMZM5G815553,GRMZM5G815553,Photosystem I iron-sulfur center,ATCG01060,PSAC,GRMZM5G815553 (PSAC)
GRMZM5G815606,GRMZM5G815606,"30S ribosomal protein S18, chloroplastic",ATCG00650,RPS18,GRMZM5G815606 (RPS18)
GRMZM5G816274,GRMZM5G816274,Putative uncharacterized protein orf158-a1,,,GRMZM5G816274
GRMZM5G816453,GRMZM5G816453,Putative uncharacterized protein orf387,,,GRMZM5G816453
GRMZM5G816772,GRMZM5G816772,ATPase subunit 8,AT2G07707,,GRMZM5G816772
GRMZM5G816772,GRMZM5G816772,ATPase subunit 8,ATMG00480,ORFB,GRMZM5G816772 (ORFB)
GRMZM5G817985,GRMZM5G817985,Putative uncharacterized protein orf112-a1,,,GRMZM5G817985
GRMZM5G819109,GRMZM5G819109,Putative uncharacterized protein orf113-b,,,GRMZM5G819109
GRMZM5G821527,GRMZM5G821527,Putative uncharacterized protein orfX,ATMG00570,ORFX,GRMZM5G821527 (ORFX)
GRMZM5G822170,GRMZM5G822170,Putative uncharacterized protein orf133-b,,,GRMZM5G822170
GRMZM5G822401,GRMZM5G822401,Putative uncharacterized protein orf160-a,,,GRMZM5G822401
GRMZM5G824660,GRMZM5G824660,Putative uncharacterized protein orf111-a,,,GRMZM5G824660
GRMZM5G826322,GRMZM5G826322,Putative uncharacterized protein orf99-e,,,GRMZM5G826322
GRMZM5G826672,GRMZM5G826672,Putative uncharacterized protein orf131-b-ct,,,GRMZM5G826672
GRMZM5G827309,GRMZM5G827309,DNA-directed RNA polymerase,,,GRMZM5G827309
GRMZM5G828883,GRMZM5G828883,Putative uncharacterized protein orf133-a,,,GRMZM5G828883
GRMZM5G830210,GRMZM5G830210,"Translation initiation factor IF-1, chloroplastic",AT4G11175,,GRMZM5G830210
GRMZM5G831399,GRMZM5G831399,Photosystem II reaction center protein H,ATCG00710,PSBH,GRMZM5G831399 (PSBH)
GRMZM5G831540,GRMZM5G831540,Chloroplast envelope membrane protein,ATCG00530,YCF10,GRMZM5G831540 (YCF10)
GRMZM5G834282,GRMZM5G834282,Putative uncharacterized protein orf110-c,,,GRMZM5G834282
GRMZM5G834298,GRMZM5G834298,Putative uncharacterized protein orf121-b,,,GRMZM5G834298
GRMZM5G834666,GRMZM5G834666,Putative uncharacterized protein orf140-b,,,GRMZM5G834666
GRMZM5G834908,GRMZM5G834908,Putative uncharacterized protein orf112-a1,,,GRMZM5G834908
GRMZM5G835775,GRMZM5G835775,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic",ATCG01070,NDHE,GRMZM5G835775 (NDHE)
GRMZM5G838396,GRMZM5G838396,"30S ribosomal protein S3, chloroplastic",ATCG00800,,GRMZM5G838396
GRMZM5G838554,GRMZM5G838554,Putative uncharacterized protein orf131-c,,,GRMZM5G838554
GRMZM5G839924,GRMZM5G839924,NADH dehydrogenase subunit 9,ATMG00070,NAD9,GRMZM5G839924 (NAD9)
GRMZM5G844030,GRMZM5G844030,Putative uncharacterized protein orf101-c,,,GRMZM5G844030
